,zpid,address,zipcode,latitude,longitude,beds,baths,area,dateSold,yearBuilt,lotSize,zestimate,sellingPrice,sellerAgent,sellerAgentUrl,buyerAgent,buyerAgentUrl,listedAt,firstListingPrice,timesListed,zEstimate_at_listing,zEstimate_date,url
101,15589930,"714 Glenmere Way, Emerald Hills, CA 94062",94062,37.45953,-122.271992,4,3.5,3025,2019-07-15 00:00:00,1966,16801.0,2388836.0,2461000.0,Alex Lehr,https://www.zillow.com/profile/Alex-Lehr/,Jeanine Wade,https://www.zillow.com/profile/jwadehomes/,2019-06-13 10:51:00,2395000.0,1,2829839.0,2019-05-31,https://www.zillow.com/homedetails/714-Glenmere-Way-Emerald-Hills-CA-94062/15589930_zpid/
102,15572329,"785 Castle Hill Rd, Redwood City, CA 94061",94061,37.460683,-122.252087,5,4.0,2810,2019-07-09 00:00:00,1956,7701.0,2355962.0,2425000.0,Pam Tyson,https://www.zillow.com/profile/tysonsales/,Jim Arbeed,https://www.zillow.com/profile/Jim-Arbeed/,2019-03-08 18:35:00,2799000.0,1,2118810.0,2019-02-28,https://www.zillow.com/homedetails/785-Castle-Hill-Rd-Redwood-City-CA-94061/15572329_zpid/
103,15559349,"10 Belle Roche Ave, Redwood City, CA 94062",94062,37.479196,-122.26365,4,4.0,3230,2019-06-28 15:00:00,1995,43647.0,2992281.0,3075000.0,John Shroyer,https://www.zillow.com/profile/JohnShroyer/,Joyce Romeo,https://www.zillow.com/profile/joyceandtatum/,2019-04-12 12:54:00,3198000.0,1,2742706.0,2019-03-31,https://www.zillow.com/homedetails/10-Belle-Roche-Ave-Redwood-City-CA-94062/15559349_zpid/
104,15571841,"819 Bain Pl, Redwood City, CA 94062",94062,37.468761,-122.254397,3,3.0,2004,2019-06-21 00:00:00,1951,7501.0,1948201.0,2000000.0,Pam Tyson,https://www.zillow.com/profile/tysonsales/,Kelly Dippel,https://www.zillow.com/profile/Kdippel/,2019-04-26 13:35:00,1899000.0,1,1688520.0,2019-03-31,https://www.zillow.com/homedetails/819-Bain-Pl-Redwood-City-CA-94062/15571841_zpid/
105,15563981,"2210 Brewster Ave, Redwood City, CA 94062",94062,37.47972,-122.245935,3,2.0,1514,2019-06-20 08:00:00,1939,6351.0,2167692.0,2225000.0,Brian Ayer,https://www.zillow.com/profile/brianayer/,,,2019-05-03 00:47:00,2298000.0,1,1812020.0,2019-04-30,https://www.zillow.com/homedetails/2210-Brewster-Ave-Redwood-City-CA-94062/15563981_zpid/
106,15571972,"860 Piedmont Way, Redwood City, CA 94062",94062,37.464813,-122.251883,4,3.0,2470,2019-06-20 00:00:00,1958,7379.0,2045912.0,2100000.0,Violaine Mraihi,https://www.zillow.com/profile/violaine/,Tom He,https://www.zillow.com/profile/loan2home/,2019-05-02 17:01:00,2075000.0,1,2071242.0,2019-04-30,https://www.zillow.com/homedetails/860-Piedmont-Way-Redwood-City-CA-94062/15571972_zpid/
107,15591941,"2415 Ohio Ave, Redwood City, CA 94061",94061,37.455188,-122.230623,4,2.0,1743,2019-06-19 08:00:00,1951,7562.0,2304425.0,2365000.0,Brian Ayer,https://www.zillow.com/profile/brianayer/,Jill Cole,https://www.zillow.com/profile/ColeAndRiese/,2019-05-18 00:52:00,2378000.0,1,1730652.0,2019-04-30,https://www.zillow.com/homedetails/2415-Ohio-Ave-Redwood-City-CA-94061/15591941_zpid/
108,15591919,"2474 Ohio Ave, Redwood City, CA 94061",94061,37.455232,-122.232087,4,3.0,2560,2019-06-17 15:00:00,1951,6268.0,1973713.0,2025000.0,,,Vicky Costantini,https://www.zillow.com/profile/vcostantini/,2019-04-15 09:13:00,1998000.0,1,2204976.0,2019-03-31,https://www.zillow.com/homedetails/2474-Ohio-Ave-Redwood-City-CA-94061/15591919_zpid/
109,15571679,"817 Shepard Way, Redwood City, CA 94062",94062,37.461465,-122.258837,4,3.0,1960,2019-06-14 00:00:00,1969,8568.0,2291492.0,2350000.0,Laura Bertolacci,https://www.zillow.com/profile/Laura-Bertolacci/,Anthony Galli,https://www.zillow.com/profile/Anthony-Galli/,2019-05-10 10:17:00,2268000.0,1,2036211.0,2019-04-30,https://www.zillow.com/homedetails/817-Shepard-Way-Redwood-City-CA-94062/15571679_zpid/
110,15560817,"256 Garnet Ave, San Carlos, CA 94070",94070,37.48468,-122.257092,3,3.0,1694,2019-06-13 15:00:00,1946,5000.0,2243067.0,2300000.0,Chuck Gillooley,https://www.zillow.com/profile/SanCarlosRealtor/,Joyce Romeo,https://www.zillow.com/profile/joyceandtatum/,2019-05-03 15:11:00,1998000.0,1,1758867.0,2019-04-30,https://www.zillow.com/homedetails/256-Garnet-Ave-San-Carlos-CA-94070/15560817_zpid/
